R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 30C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0131
y-axis screen name: rfa3-313 30C
y-axis libraries: SDLV4_384
y-axis client: MJG
y-axis user: AAB
y-axis date: 2014/06/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YPR024W	YME1	0.0117243	0.0848104	-29.5015	9.99195	51.229	4.26112	11.209	8	8	t-test	E
YNL171C	YNL171C	0.0174726	0.108036	-29.3188	32.8637	80.6601	9.37009	5.32717	8	8	t-test	E
YPL250C	ICY2	4.13613e-05	0.00208505	-29.2742	12.5412	54.2408	3.83668	2.40673	8	8	t-test	E
YKR099W	BAS1	0.00190082	0.0253628	-28.7747	20.7624	64.257	6.15089	4.83685	8	8	t-test	E
YDR277C	MTH1	0.0197027	0.117324	-28.5562	25.3165	69.8809	9.17682	6.45716	8	8	t-test	E
YEL011W	GLC3	0.0201075	0.119372	-28.1751	41.2545	90.0605	3.04833	11.1317	8	6	t-test	E
YDL111C	RRP42	9.22614e-05	0.00342871	-28.1073	22.8808	66.1393	3.98224	4.16021	8	8	t-test	E
YOR368W	RAD17	4.91406e-18	8.21794e-15	-27.9775	26.8525	71.1227	2.25225	1.12293	56	56	t-test	E
YHR030C	SLT2	0.0388893	0.183334	-27.2793	42.6443	90.7014	1.91688	13.9194	8	8	t-test	E
YNL064C	YDJ1	0.0169601	0.106627	-27.2469	21.5024	63.2352	8.76379	2.34046	8	8	t-test	E
YKL040C	NFU1	0.00327902	0.0355732	-27.1658	7.50133	44.9685	4.92692	7.56747	8	8	t-test	E
YDL081C	RPP1A	0.00019826	0.00554765	-27.1646	14.0785	53.4984	4.33781	3.04408	8	8	t-test	E
YEL033W	MTC7	0.00815655	0.0660023	-27.0886	29.8561	73.8658	6.72656	6.85147	8	6	t-test	E
YPR173C	VPS4	0.000182536	0.00526313	-27.0463	9.15919	46.9639	4.19429	2.28561	8	8	t-test	E
YBL073W	YBL073W	0.000243785	0.00647127	-26.8798	8.5754	45.9907	4.40148	3.04816	8	8	t-test	E
YNL228W	YNL228W	6.64012e-05	0.00277051	-26.7986	15.7644	55.2106	3.58346	1.72353	8	8	t-test	E
YMR198W	CIK1	0.000399874	0.00937461	-26.0581	15.541	53.9602	4.49829	2.50983	8	8	t-test	E
YER115C	SPR6	0.0214924	0.124512	-25.7723	35.2566	79.1637	8.30537	6.22294	8	6	t-test	E
YNL205C	YNL205C	0.0086843	0.0693252	-25.5545	32.0618	74.7369	7.13371	1.83552	8	8	t-test	E
YGL176C	YGL176C	0.0602681	0.237708	-25.4672	29.2232	70.9417	10.9936	6.01908	8	8	t-test	E
YDR440W	DOT1	0.00304937	0.0339971	-25.4395	34.4281	77.6572	3.19347	6.90182	8	6	t-test	E
YBL018C	POP8	0.000152552	0.00478345	-25.3583	32.6258	75.2141	3.67087	1.33213	8	8	t-test	E
YER135C	YER135C	0.00194335	0.025705	-25.1806	38.3441	82.401	3.96851	6.1475	8	6	t-test	E
YHR077C	NMD2	5.44971e-15	4.55687e-12	-25.0584	28.9039	69.9971	2.35679	1.31149	56	56	t-test	E
YLR150W	STM1	0.00148197	0.0217399	-24.8432	28.5281	69.2305	4.84808	5.10552	8	8	t-test	E
YLR320W	MMS22	0.00187766	0.0252552	-24.7927	24.5492	64.0039	5.28933	4.16807	8	8	t-test	E
YDL061C	RPS29B	0.00236932	0.0291974	-24.7283	14.388	50.7398	5.49886	3.96023	8	8	t-test	E
YER025W	GCD11	3.79139e-05	0.0019814	-24.6783	24.952	64.3779	1.9028	4.23439	8	8	t-test	E
YMR224C	MRE11	1.93764e-12	1.38873e-09	-24.6358	12.8081	48.5703	2.13125	2.92783	56	56	t-test	E
YNL166C	BNI5	0.0116412	0.0845207	-24.5892	32.3414	73.8475	7.28215	1.50548	8	8	t-test	E
YPR135W	CTF4	0.00174168	0.0240055	-24.088	18.1955	54.848	5.07028	4.10073	8	8	t-test	E
YIR008C	PRI1	0.0240006	0.133253	-23.9256	16.9487	53.02	5.87765	10.4057	16	14	t-test	E
YER073W	ALD5	0.00158732	0.0228183	-23.9194	36.7792	78.7352	4.3419	5.15173	8	6	t-test	E
YDR174W	HMO1	0.00131616	0.0198891	-23.7933	20.4394	57.3764	2.99695	6.25196	8	8	t-test	E
YDL083C	RPS16B	0.000120187	0.004061	-23.7832	25.419	63.8225	3.54085	3.31219	8	8	t-test	E
YDR382W	RPP2B	3.00648e-05	0.00181729	-23.6905	5.79885	38.2521	3.06479	2.4781	8	8	t-test	E
YLR205C	HMX1	0.0303294	0.156869	-23.6116	36.3501	77.7792	8.35465	5.75252	8	8	t-test	E
