R package version: 0.0-42
Summary type: mean
Test type: t-test
x-axis treatment: 33
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 33C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 33
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0136
y-axis screen name: stn1-13 33C
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: AAB
y-axis date: 2014/08/22
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YPR051W	MAK3	5.04114e-06	0.000247603	-26.5767	5.75053	54.7929	2.43063	3.3481	6	8	t-test	E
YJL009W	YJL009W	0.00935308	0.0581293	-26.5734	4.26893	52.2762	4.26893	12.4429	8	8	t-test	E
YML129C	COX14	3.53814e-05	0.00105914	-26.4474	7.62345	57.7484	2.93676	4.73206	6	8	t-test	E
YDL042C	SIR2	0.0223343	0.103201	-26.323	18.7033	76.3174	9.00054	3.95657	8	6	t-test	E
YIL011W	TIR3	0.0104233	0.0621248	-26.3021	11.0024	63.2292	7.21066	8.29587	8	8	t-test	E
YMR036C	MIH1	0.172629	0.378787	-26.287	32.5652	99.7516	2.0652	29.221	8	8	t-test	E
YGR078C	PAC10	0.00888044	0.0560176	-25.941	18.7795	75.7989	7.29822	3.7642	8	8	t-test	E
YNL253W	TEX1	0.171492	0.377654	-25.9359	35.3826	103.932	3.33469	28.5412	8	8	t-test	E
YCL010C	SGF29	0.00511229	0.0386016	-25.9345	13.7491	67.2616	6.27149	6.97815	8	6	t-test	E
YNL171C	YNL171C	0.0035985	0.0300449	-25.6684	11.1755	62.4486	6.11627	3.16429	8	8	t-test	E
YIL125W	KGD1	0.0184957	0.0911987	-25.6238	11.1767	62.3748	7.28455	9.29482	6	8	t-test	E
YGR066C	YGR066C	0.237441	0.458478	-25.6027	35.3565	103.323	2.52333	33.4196	8	8	t-test	E
YGR137W	YGR137W	0.248565	0.469739	-25.337	38.4993	108.199	4.23255	33.6244	8	8	t-test	E
YOL150C	YOL150C	0.00375013	0.0308486	-25.0969	12.0559	62.9721	6.01333	2.89985	8	8	t-test	E
YDL160C	DHH1	0.0150952	0.079383	-25.049	15.7291	69.1167	7.82664	4.51072	8	6	t-test	E
YGL151W	NUT1	0.0176331	0.0882353	-25.0262	20.2761	76.7851	8.11807	2.31057	8	8	t-test	E
YNR008W	LRO1	0.195779	0.407528	-25.012	36.4861	104.236	3.01291	29.3816	8	8	t-test	E
YJR147W	HMS2	0.214521	0.430345	-24.4821	37.4554	104.981	3.34853	30.0709	8	8	t-test	E
YEL049W	PAU2	0.331851	0.550799	-24.4779	36.621	103.56	2.87226	39.11	8	7	t-test	E
YLR184W	YLR184W	0.0163945	0.084203	-24.439	11.2362	60.4676	7.10651	5.25432	6	8	t-test	E
YGL089C	MF(ALPHA)2	0.276221	0.496662	-24.41	33.724	98.5342	3.90431	34.6106	8	8	t-test	E
YNL170W	YNL170W	6.67131e-06	0.000304056	-24.2962	5.96136	51.285	2.63237	2.37266	8	8	t-test	E
YER041W	YEN1	0.322004	0.541226	-24.0903	36.0843	101.993	2.62141	37.6692	8	7	t-test	E
YGL175C	SAE2	0.229868	0.450737	-24.0049	30.9563	93.1565	2.59585	30.7372	8	8	t-test	E
YOL115W	PAP2	0.0151602	0.0796422	-23.8945	5.77414	50.2868	5.77414	10.8614	8	8	t-test	E
YDR070C	FMP16	0.278097	0.497839	-23.8467	29.667	90.7029	6.71071	33.017	8	8	t-test	E
YFR053C	HXK1	0.237123	0.458215	-23.835	32.2972	95.1412	3.18191	30.9503	8	8	t-test	E
YMR055C	BUB2	0.0089141	0.0560901	-23.7482	20.4058	74.8388	6.6594	2.0452	8	8	t-test	E
YFL046W	FMP32	0.350438	0.570959	-23.6834	40.2115	108.299	3.58912	39.3361	8	7	t-test	E
YHR155W	YSP1	0.265673	0.485447	-23.6083	38.4587	105.2	2.26305	32.9324	8	8	t-test	E
YIL147C	SLN1	0.0108927	0.0637802	-23.5958	0	39.9937	0	11.6388	8	8	t-test	E
YOR312C	RPL20B	0.00386565	0.0314917	-23.5752	13.3723	62.6241	5.71101	3.77145	8	8	t-test	E
YPR135W	CTF4	8.13405e-06	0.000340084	-23.3446	4.78556	47.6791	1.65261	4.32551	6	8	t-test	E
YGL236C	MTO1	0.268685	0.489335	-23.1849	32.0497	93.6198	2.45919	32.5344	8	8	t-test	E
YGR188C	BUB1	0.000199759	0.00391698	-23.1772	6.98694	51.1267	3.70752	3.50951	8	8	t-test	E
YGL018C	JAC1	0.0171654	0.0864079	-23.1696	14.9653	64.6367	7.4371	4.56089	8	8	t-test	E
YGL214W	YGL214W	0.0287749	0.122155	-23.1401	19.9405	73.0193	8.41911	3.07769	8	8	t-test	E
